Language Code,App Name,Short Description,Full Description
en,SoundSlumber - Sleep (Ads),"Sleep deeply with custom ambient sounds, power saving, and gentle wake alarm.","Transform your nights with SoundSlumber, the ultimate companion for deep, restful sleep.

Create your perfect bedtime sanctuary by mixing high-quality soothing sounds—including gentle rain, calming ocean waves, rustling forest leaves, and smooth white noise. Tailor your sleep environment to your exact liking and fall asleep faster than ever before.

Key Features:
• Personalized Soundscapes: Mix and match multiple high-fidelity ambient sounds. Fine-tune individual track volumes to craft your unique bedtime audio escape.
• Smart Power Save Mode: Protect your device's battery overnight. This mode automatically reduces the audio sampling rate and disables non-essential screen animations while you sleep.
• Loudness Normalization: Experience a smooth, balanced audio output. SoundSlumber normalizes the master volume of all active tracks to prevent sudden volume spikes or audio clipping.
• Gentle Wake Sunrise: Wake up naturally and refreshed. When your sleep timer expires, the volume rises gently over 5 minutes accompanied by a warm, simulated sunrise screen illumination.
• Onboarding Walkthrough: Quickly learn how to customize sleep protection features and design your custom environments.

Why Choose SoundSlumber?
• 100% Offline-Friendly: Play your custom mixes anywhere, anytime, without needing an internet connection.
• Battery Conscious: Designed from the ground up for minimal power consumption.
• Material You Design: A modern, gorgeous, dark-themed interface built for relaxed nighttime viewing.

Say goodbye to restless nights and start waking up refreshed. Download SoundSlumber today!"
ar,ساوند سلامبر - نوم (إعلانات),نَم بعمق مع الأصوات البيئية، موفر الطاقة، ومنبه الاستيقاظ اللطيف.,"غير لياليك مع SoundSlumber، الرفيق المثالي لنوم عميق ومريح.

اصنع ملاذك المثالي للنوم من خلال مزج أصوات مهدئة عالية الجودة - بما في ذلك المطر اللطيف، أمواج المحيط الهادئة، أوراق الغابات وحفيفها، والضوضاء البيضاء الناعمة. صمم بيئة نومك لتناسب ذوقك تماماً ونم أسرع من أي وقت مضى.

الميزات الرئيسية:
• بيئات صوتية مخصصة: امزج وطابق العديد من الأصوات المحيطية عالية الدقة. اضبط حجم المسارات الفردية لتصميم هروبك الصوتي الفريد قبل النوم.
• وضع توفير الطاقة الذكي: حافظ على بطارية جهازك طوال الليل. يقلل هذا الوضع تلقائياً من معدل أخذ عينات الصوت ويعطل رسوم الشاشة غير الضرورية أثناء نومك.
• موازنة حدة الصوت: استمتع بمخرجات صوتية متوازنة وسلسة. يقوم التطبيق بضبط مستوى الصوت الرئيسي لجميع المسارات النشطة لمنع الارتفاعات المفاجئة في الصوت.
• شروق الاستيقاظ اللطيف: استيقظ بشكل طبيعي وبنشاط. عندما ينتهي مؤقت النوم، يرتفع الصوت تدريجياً على مدار 5 دقائق مصحوباً بإضاءة شاشة دافئة تحاكي شروق الشمس.
• جولة تعليمية أولية: تعلم بسرعة كيفية تخصيص ميزات حماية النوم وتصميم بيئاتك الخاصة.

لماذا تختار SoundSlumber؟
• يعمل بدون إنترنت تماماً: قم بتشغيل خلطاتك المخصصة في أي مكان وفي أي وقت دون الحاجة إلى اتصال بالإنترنت.
• صديق للبطارية: مصمم خصيصاً لاستهلاك أقل طاقة ممكنة.
• تصميم عصري وأنيق: واجهة مريحة ومظلمة مصممة للمشاهدة الليلية المريحة.

قل وداعاً لليالي الأرق وابدأ بالاستيقاظ منتعشاً. حمل SoundSlumber اليوم!"
bn,সাউন্ডস্লাম্বার - ঘুম (Ads),"শব্দ মিশ্রণ, পাওয়ার সেভিং ও জেন্টল ওয়েক অ্যালার্ম দিয়ে ঘুমান।","গভীর ও আরামদায়ক ঘুমের একমাত্র সহচর SoundSlumber-এর মাধ্যমে আপনার রাতগুলোকে বদলে ফেলুন।

মৃদু বৃষ্টি, শান্ত সাগরের ঢেউ, বনের পাতার শব্দ এবং সফট হোয়াইট নয়েজের মতো উচ্চ-মানের প্রশান্তিদায়ক শব্দের মিশ্রণ তৈরি করে আপনার শোবার ঘরটিকে এক শান্ত স্বর্গরাজ্যে পরিণত করুন। আপনার পছন্দমতো ঘুমের পরিবেশ তৈরি করুন এবং আগের চেয়ে দ্রুত ঘুমিয়ে পড়ুন।

প্রধান বৈশিষ্ট্যসমূহ:
• কাস্টম শব্দজগৎ: একাধিক উচ্চ-মানের প্রাকৃতিক শব্দ একসাথে মিশিয়ে নিন। প্রতিটি ট্র্যাকের ভলিউম আলাদাভাবে নিয়ন্ত্রণ করে তৈরি করুন নিজস্ব ঘুমের অডিও।
• স্মার্ট পাওয়ার সেভ মোড: রাতে আপনার ডিভাইসের ব্যাটারি সুরক্ষিত রাখুন। এই মোডটি ঘুমানোর সময় অডিও স্যাম্পলিং রেট কমিয়ে দেয় এবং স্ক্রিনের অতিরিক্ত অ্যানিমেশন বন্ধ রাখে।
• লাউডনেস নরমালাইজেশন: সমান ও ভারসাম্যপূর্ণ শব্দ উপভোগ করুন। সব ট্র্যাকের মাস্টার ভলিউম স্বয়ংক্রিয়ভাবে সমান রাখা হয় যাতে হঠাৎ কোনো তীব্র আওয়াজ না হয়।
• জেন্টল ওয়েক সানরাইজ: প্রাকৃতিকভাবে সতেজ হয়ে জেগে উঠুন। স্লিপ টাইমার শেষ হলে ভলিউম ৫ মিনিট ধরে ধীরে ধীরে বাড়ে এবং স্ক্রিনে ভোরের আলোর মতো কৃত্রিম নরম আলো জ্বলে ওঠে।
• গাইড অনবোর্ডিং: কীভাবে ঘুমের সেটিংস কাস্টমাইজ করবেন এবং নিজের সাউন্ডস্কেপ তৈরি করবেন তা সহজেই বুঝে নিন।

কেন SoundSlumber বেছে নেবেন?
• সম্পূর্ণ অফলাইন-বান্ধব: ইন্টারনেট ছাড়াই যেকোনো স্থানে যেকোনো সময় আপনার কাস্টম শব্দগুলো শুনুন।
• ব্যাটারি সাশ্রয়ী: অত্যন্ত কম পাওয়ার খরচ করার জন্য বিশেষভাবে তৈরি।
• মেটেরিয়াল ডিজাইন: রাতে চোখের আরামের জন্য একটি দৃষ্টিনন্দন ও আধুনিক ডার্ক থিম ইন্টারফেস।

অশান্ত রাতকে বিদায় জানান এবং সতেজ মনে জেগে উঠুন। আজই ডাউনলোড করুন SoundSlumber!"
de,SoundSlumber - Schlaf (Anz.),"Tief schlafen mit Ambient-Sounds, Energiesparmodus und sanftem Wecker.","Verwandeln Sie Ihre Nächte mit SoundSlumber, dem ultimativen Begleiter für tiefen und erholsamen Schlaf.

Erschaffen Sie Ihre perfekte Einschlafoase, indem Sie hochwertige, beruhigende Klänge mischen – darunter sanfter Regen, beruhigende Meereswellen, raschelndes Waldlaub und gleichmäßiges weißes Rauschen. Passen Sie Ihre Schlafumgebung exakt an Ihre Wünsche an und schlafen Sie schneller ein als je zuvor.

Hauptmerkmale:
• Personalisierte Klangwelten: Mischen und kombinieren Sie mehrere High-Fidelity-Umgebungsgeräusche. Passen Sie die Lautstärke einzelner Spuren an, um Ihre ganz persönliche Einschlaf-Klangkulisse zu erstellen.
• Intelligenter Energiesparmodus: Schonen Sie den Akku Ihres Geräts über Nacht. Dieser Modus reduziert automatisch die Audio-Abtastrate und deaktiviert unnötige Bildschirmanimationen während Ihres Schlafs.
• Lautstärkenormalisierung: Erleben Sie eine gleichmäßige, ausgewogene Audioausgabe. SoundSlumber gleicht die Gesamtlautstärke aller aktiven Spuren an, um plötzliche Lautstärkespitzen oder Verzerrungen zu vermeiden.
• Sanfter Sonnenaufgang: Wachen Sie natürlich und erholt auf. Sobald der Sleep-Timer abläuft, steigt die Lautstärke über 5 Minuten hinweg sanft an, begleitet von einem warmen, simulierten Sonnenaufgang auf dem Bildschirm.
• Onboarding-Tour: Lernen Sie schnell, wie Sie die Schlaffunktionen anpassen und Ihre eigenen Klangwelten gestalten.

Warum SoundSlumber wählen?
• 100% Offline-fähig: Spielen Sie Ihre benutzerdefinierten Mixe überall und jederzeit ab, ohne eine Internetverbindung zu benötigen.
• Akkuschonend: Von Grund auf für minimalen Stromverbrauch optimiert.
• Modernes Material Design: Eine ansprechende Benutzeroberfläche im dunklen Design für eine entspannte nächtliche Nutzung.
• Keine komplizierten Einstellungen: Einfach zu bedienen, damit Sie sich ganz auf Ihre Entspannung konzentrieren können.

Verabschieden Sie sich von schlaflosen Nächten und starten Sie voller Energie in den Tag. Laden Sie SoundSlumber noch heute herunter!"
es,SoundSlumber - Sueño (Ads),"Duerme profundamente con sonidos relajantes, ahorro de energía y despertador.","Transforma tus noches con SoundSlumber, el compañero definitivo para disfrutar de un sueño profundo y reparador.

Crea tu santuario de descanso ideal mezclando sonidos relajantes de alta calidad, como lluvia suave, olas del océano, el susurro de las hojas del bosque y ruido blanco. Adapta tu entorno de sueño exactamente a tu gusto y quédate dormido más rápido que nunca.

Características principales:
• Paisajes sonoros personalizados: Combina múltiples sonidos ambientales de alta fidelidad. Ajusta los volúmenes de las pistas individuales para diseñar tu escape de audio único para dormir.
• Modo de ahorro de energía inteligente: Cuida la batería de tu dispositivo durante la noche. Este modo reduce automáticamente la tasa de muestreo de audio y desactiva animaciones de pantalla secundarias mientras duermes.
• Normalización de volumen: Disfruta de una salida de audio suave y equilibrada. El sistema nivela el volumen de todas las pistas activas para evitar picos de volumen molestos o saturaciones.
• Despertar con amanecer suave: Despiértate de forma natural y con energía. Cuando el temporizador de sueño termina, el volumen sube suavemente durante 5 minutos acompañado de una luz cálida simulada en pantalla.
• Introducción interactiva: Aprende rápidamente a personalizar las funciones de protección acústica y a diseñar tus propios ambientes.

¿Por qué elegir SoundSlumber?
• 100% sin conexión: Reproduce tus mezclas personalizadas en cualquier lugar y momento, sin necesidad de conexión a internet.
• Consumo de batería eficiente: Diseñado desde cero para optimizar y reducir al mínimo el gasto de energía.
• Interfaz Material Design elegante: Un diseño nocturno moderno y oscuro pensado para el confort visual por la noche.

Dile adiós a las noches de insomnio y empieza a despertarte totalmente renovado. ¡Descarga SoundSlumber hoy mismo!"
fr,SoundSlumber - Sommeil (Ads),Dormez profondément avec des sons d'ambiance et un réveil en douceur.,"Transformez vos nuits avec SoundSlumber, le compagnon ultime pour un sommeil profond et réparateur.

Créez votre sanctuaire de sommeil idéal en mélangeant des sons apaisants de haute qualité, comme une pluie douce, des vagues océaniques calmes, le bruissement des feuilles de la forêt ou un bruit blanc harmonieux. Personnalisez votre environnement nocturne et endormez-vous plus rapidement.

Caractéristiques principales :
• Paysages sonores personnalisés : Associez plusieurs sons d'ambiance haute fidélité. Ajustez le volume de chaque piste pour façonner votre propre évasion sonore nocturne.
• Mode Économie d'Énergie intelligent : Préservez la batterie de votre appareil pendant la nuit. Ce mode réduit automatiquement le taux d'échantillonnage audio et désactive les animations d'écran superflues pendant votre sommeil.
• Normalisation du volume : Profitez d'un son fluide et équilibré. L'application ajuste le volume principal de toutes les pistes actives pour éviter les pics sonores ou la saturation.
• Réveil Lumineux en Douceur : Réveillez-vous naturellement et reposé. Lorsque votre minuteur expire, le volume augmente progressivement sur 5 minutes, accompagné d'une simulation d'aube chaleureuse sur votre écran.
• Guide d'intégration : Découvrez rapidement comment configurer vos préférences et concevoir vos paysages de sommeil.

Pourquoi choisir SoundSlumber ?
• 100 % hors ligne : Écoutez vos mélanges favoris n'importe où, n'importe quand, sans aucune connexion Internet.
• Respectueux de la batterie : Conçu spécifiquement pour minimiser la consommation d'énergie.
• Design moderne et élégant : Une interface sombre et épurée, idéale pour une utilisation nocturne relaxante.

Dites adieu aux nuits agitées et réveillez-vous avec vitalité. Téléchargez SoundSlumber dès aujourd'hui !"
hi,साउंडस्लंबर - नींद (Ads),"शांतिपूर्ण नींद के लिए अनुकूलित ध्वनियाँ, पावर सेविंग और मधुर अलार्म।","SoundSlumber के साथ अपनी रातों को बदलें, जो गहरी और आरामदायक नींद के लिए आपका अंतिम साथी है।

रिमझिम बारिश, शांत समुद्र की लहरें, जंगल के पत्तों की सरसराहट और सुखदायक व्हाइट नॉइज़ सहित उच्च गुणवत्ता वाली ध्वनियों को मिलाकर अपने सोने के कमरे को एक शांत स्वर्ग बनाएं। अपनी पसंद के अनुसार सोने का माहौल तैयार करें और पहले से कहीं अधिक तेज़ी से सोएं।

मुख्य विशेषताएं:
• व्यक्तिगत ध्वनि-मिश्रण: कई उच्च-गुणवत्ता वाली प्राकृतिक ध्वनियों को एक साथ मिलाएं। अपनी अनूठी bedtime ऑडियो बनाने के लिए प्रत्येक ट्रैक के वॉल्यूम को नियंत्रित करें।
• स्मार्ट पावर सेव मोड: रात भर अपने डिवाइस की बैटरी सुरक्षित रखें। यह मोड आपके सोते समय ऑडियो सैंपलिंग दर को कम करता है और अतिरिक्त स्क्रीन एनिमेशन को बंद रखता है।
• वॉल्यूम सामान्यीकरण: संतुलित और सुसंगत ध्वनि का अनुभव करें। सभी ट्रैक के मास्टर वॉल्यूम को स्वचालित रूप से समान रखा जाता है ताकि अचानक कोई तेज़ आवाज़ या ध्वनि में खिंचाव न हो।
• कोमल सूर्योदय अलार्म: प्राकृतिक रूप से तरोताजा होकर जागें। स्लीप टाइमर समाप्त होने पर वॉल्यूम 5 मिनट में धीरे-धीरे बढ़ता है और स्क्रीन पर सूर्योदय की सुंदर पीली रोशनी चमकती है।
• आसान ऑनबोर्डिंग गाइड: नींद सुरक्षा सुविधाओं को अनुकूलित करने और अपना कस्टम वातावरण डिज़ाइन करने का तरीका आसानी से समझें।

SoundSlumber क्यों चुनें?
• 100% ऑफ़लाइन अनुकूल: बिना इंटरनेट कनेक्शन के कहीं भी, कभी भी अपने अनुकूलित मिक्स चलाएं।
• बैटरी के अनुकूल: न्यूनतम बिजली की खपत के लिए विशेष रूप से डिज़ाइन किया गया।
• शानदार डार्क थीम डिज़ाइन: रात में आँखों को आराम देने के लिए एक आधुनिक और सुंदर इंटरफ़ेस।

बेचैन रातों को अलविदा कहें और तरोताजा मन से जागना शुरू करें। आज ही SoundSlumber डाउनलोड करें!"
it,SoundSlumber - Sonno (Ads),"Dormi profondamente con suoni rilassanti, risparmio energetico e sveglia.","Trasforma le tue notti con SoundSlumber, l'alleato ideale per un sonno profondo e ristoratore.

Crea il tuo angolo di relax miscelando suoni rilassanti ad alta fedeltà, tra cui una pioggia leggera, il fruscio delle foglie nel bosco, onde marine delicate e il classico rumore bianco. Personalizza il tuo ambiente notturno in base alle tue preferenze e addormentati in tempi record.

Caratteristiche principali:
• Atmosfere sonore su misura: Combina più suoni d'ambiente. Regola i singoli volumi per creare la colonna sonora perfetta per il tuo riposo.
• Risparmio Energetico Intelligente: Salvaguarda la batteria del tuo telefono. Questa modalità riduce automaticamente la frequenza di campionamento dell'audio e disattiva le animazioni dello schermo superflue durante il riposo.
• Normalizzazione del Volume: Goditi un audio omogeneo e piacevole. Il sistema livella il volume di tutte le tracce attive per prevenire picchi sonori improvvisi o fastidiosi.
• Risveglio Dolce all'Alba: Svegliati riposato e con energia. Allo scadere del timer di spegnimento, il volume cresce gradualmente per 5 minuti, mentre lo schermo si illumina simulando i colori caldi dell'alba.
• Guida interattiva: Impara subito a personalizzare le impostazioni di protezione e ad abbinare i tuoi suoni preferiti.

Perché scegliere SoundSlumber?
• Funziona 100% offline: Ascolta le tue combinazioni ovunque, in qualsiasi momento, senza consumare traffico dati.
• Amico della batteria: Sviluppato appositamente per ridurre al minimo l'impatto energetico.
• Design moderno e scuro: Interfaccia raffinata e confortevole per gli occhi durante le ore notturne.

Dì addio alle notti insonni e svegliati pieno di energia. Scarica SoundSlumber adesso!"
ja,SoundSlumber - 睡眠 (広告),環境音のブレンド、省電力モード、やさしい目覚ましで質の高い睡眠を。,"深くて心地よい眠りをサポートする極上の睡眠アプリ「SoundSlumber」で、毎晩の睡眠習慣を一新しましょう。

しとしとと降る雨の音、穏やかな海の波しぶき、そよ風に揺れる森の葉音、そして均一なホワイトノイズなど、高品質で心安らぐ環境音をお好みでブレンド。自分だけの理想的な入眠スペースを作り上げ、心地よいリラックスタイムをお楽しみください。

主な特徴：
• カスタマイズ可能な睡眠環境：複数の高音質な環境音を自由にミックス。個別のトラック音量を微調整して、オリジナルのリラックス音源を作成できます。
• インテリジェントな省電力モード：夜間のデバイスのバッテリー消費をしっかりと保護。睡眠中は自動的にオーディオのサンプリングレートを下げ、不要な画面アニメーションを無効化します。
• 音量平準化機能：耳に優しい快適なオーディオ出力を維持。再生中の全トラックのマスター音量のバランスを自動で調整し、突然の音量スパイクや音割れを防ぎます。
• やさしい日の出起床アラーム：すっきりと快適な目覚めを提供。タイマー終了時、5分間かけてゆっくりと音量が上昇し、画面には日の出を模した温かみのある光が灯ります。
• クイックガイド機能：アプリ起動時に睡眠保護設定や環境カスタマイズの手順をわかりやすくご案内します。

SoundSlumberが選ばれる理由：
• 完全オフライン対応：インターネット接続なしで、いつでもどこでもお好みのミックスを再生可能。
• 省電力設計：バッテリー負荷を極限まで低減させるよう最適化。
• モダンなMaterial Design：夜間の目の疲労を和らげる美しいダークテーマのインターフェースを採用。

不眠の夜に別れを告げ、スッキリと充実した朝を迎えましょう。今すぐSoundSlumberをダウンロード！"
ko,SoundSlumber - 수면 (광고),"맞춤형 수면 소리, 절전 모드, 부드러운 기상 알람으로 깊은 잠에 드세요.","깊고 평온한 휴식을 위한 완벽한 수면 보조 솔루션, SoundSlumber와 함께 매일 밤 더 깊은 수면을 경험하세요.

부드러운 빗소리, 잔잔한 파도 소리, 바스락거리는 숲의 나뭇잎 소리, 아늑한 화이트 노이즈 등 고품질의 자연 음향을 마음대로 믹스하여 완벽한 수면 침실을 꾸며보세요. 개인 맞춤형 사운드스케이프를 통해 지친 하루의 긴장을 풀고 더 빠르게 수면 상태로 빠져들 수 있습니다.

핵심 기능:
• 나만의 사운드스케이프: 다양한 고음질 환경 소리를 자유롭게 조합하고, 개별 트랙의 볼륨을 정밀하게 조절하여 세상에 단 하나뿐인 수면 사운드를 만드세요.
• 스마트 절전 모드: 수면 중 기기의 배터리를 보호합니다. 활성화 시 오디오 샘플링 속도를 자동으로 낮추고 불필요한 백그라운드 화면 애니메이션을 정지하여 전력 소모를 차단합니다.
• 음량 평준화: 부드럽고 균형 잡힌 고품질 사운드를 제공합니다. 동시에 재생되는 트랙들의 마스터 볼륨을 자동으로 평준화하여 갑작스러운 소리 충격이나 음 찢어짐 현상을 예방합니다.
• 부드러운 일출 기상: 기분 좋은 아침을 맞이하세요. 타이머가 만료되면 5분 동안 서서히 소리가 커지며, 화면에 아름다운 노란빛 일출 조명이 함께 켜져 자연스러운 기상을 돕습니다.
• 직관적인 가이드 투어: 첫 가이드를 통해 수면 조절 기능과 맞춤 환경 설정을 손쉽게 배울 수 있습니다.

왜 SoundSlumber 인가요?
• 100% 오프라인 지원: 인터넷 무선 데이터 연결 없이도 언제 어디서나 저장된 프리셋과 믹스를 무제한 재생합니다.
• 극대화된 배터리 효율: 전력 최소 소모 공학 기법을 적용하여 설계되었습니다.
• 세련된 다크 모드 UI: 어두운 침실에서도 시력을 안전하게 보호하는 고급 메टे리얼 야간 전용 디자인.

불면증을 이겨내고 상쾌한 아침 기상을 시작해 보세요. 지금 SoundSlumber를 다운로드하세요!"
